Time,Time(ms),North China.Guyuan/ Bus 4 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Bus 5 J220/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 1 35kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 500kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 220kV Side/ Positive-Sequence Voltage Magnitude,North China.Guyuan/ Transformer 2 35kV Side/ Positive -Sequence Voltage Magnitude
2023/09/17_02:12:01.420,420,226.878,226.872,524.483,226.872,35.907,524.01,226.757,35.8878
2023/09/17_02:12:01.440,440,226.885,226.872,524.483,226.872,35.9059,523.995,226.757,35.8867
2023/09/17_02:12:01.460,460,226.865,226.858,524.437,226.858,35.9038,523.949,226.737,35.8846
2023/09/17_02:12:01.480,480,226.845,226.831,524.407,226.838,35.9006,523.918,226.724,35.8835
2023/09/17_02:12:01.500,500,226.845,226.838,524.407,226.838,35.9006,523.918,226.724,35.8824
2023/09/17_02:12:01.520,520,226.845,226.838,524.391,226.838,35.9006,523.903,226.724,35.8824
2023/09/17_02:12:01.540,540,226.825,226.818,524.345,226.818,35.8974,523.857,226.704,35.8792
2023/09/17_02:12:01.560,560,226.811,226.798,524.315,226.804,35.8942,523.827,226.69,35.8771
2023/09/17_02:12:01.580,580,226.818,226.804,524.345,226.804,35.8963,523.842,226.697,35.8771
2023/09/17_02:12:01.600,600,226.831,226.825,524.376,226.818,35.8985,523.888,226.71,35.8792
2023/09/17_02:12:01.620,620,226.737,226.731,524.33,226.731,35.8814,523.842,226.623,35.8621
2023/09/17_02:12:01.640,640,226.704,226.69,524.284,226.69,35.8782,523.796,226.576,35.8579
2023/09/17_02:12:01.660,660,226.798,226.784,524.361,226.784,35.8953,523.872,226.67,35.875
2023/09/17_02:12:01.680,680,226.838,226.825,524.407,226.825,35.8974,523.949,226.71,35.8792
2023/09/17_02:12:01.700,700,226.845,226.831,524.407,226.831,35.8985,523.934,226.724,35.8814
2023/09/17_02:12:01.720,720,226.831,226.818,524.376,226.818,35.8985,523.888,226.71,35.8792
2023/09/17_02:12:01.740,740,226.811,226.798,524.33,226.798,35.8953,523.857,226.684,35.876
2023/09/17_02:12:01.760,760,226.811,226.798,524.33,226.798,35.8931,523.857,226.684,35.876
2023/09/17_02:12:01.780,780,226.798,226.784,524.3,226.784,35.891,523.827,226.67,35.8739
2023/09/17_02:12:01.800,800,226.778,226.764,524.239,226.764,35.8878,523.766,226.65,35.8718
2023/09/17_02:12:01.820,820,226.771,226.757,524.239,226.757,35.8889,523.75,226.643,35.8718
2023/09/17_02:12:01.840,840,226.784,226.771,524.254,226.771,35.891,523.766,226.657,35.8728
2023/09/17_02:12:01.860,860,226.784,226.764,524.254,226.764,35.8889,523.766,226.657,35.8707
2023/09/17_02:12:01.880,880,226.757,226.751,524.208,226.751,35.8867,523.735,226.637,35.8675
2023/09/17_02:12:01.900,900,226.751,226.744,524.178,226.744,35.8867,523.72,226.63,35.8675
2023/09/17_02:12:01.920,920,226.751,226.744,524.178,226.744,35.8867,523.705,226.637,35.8664
2023/09/17_02:12:01.940,940,226.764,226.751,524.208,226.751,35.8878,523.735,226.643,35.8675
2023/09/17_02:12:01.960,960,226.778,226.771,524.239,226.771,35.8889,523.781,226.657,35.8696
2023/09/17_02:12:01.980,980,226.778,226.764,524.239,226.764,35.8878,523.766,226.65,35.8686
2023/09/17_02:12:02.0,0,226.771,226.757,524.239,226.764,35.8889,523.766,226.65,35.8696
2023/09/17_02:12:02.20,20,226.784,226.764,524.254,226.771,35.8889,523.796,226.657,35.8696
2023/09/17_02:12:02.40,40,226.778,226.764,524.254,226.764,35.8878,523.796,226.657,35.8696
2023/09/17_02:12:02.60,60,226.784,226.771,524.269,226.771,35.8889,523.796,226.663,35.8707
2023/09/17_02:12:02.80,80,226.798,226.784,524.284,226.791,35.8921,523.811,226.67,35.8728
2023/09/17_02:12:02.100,100,226.798,226.791,524.284,226.791,35.8931,523.796,226.677,35.875
2023/09/17_02:12:02.120,120,226.798,226.784,524.284,226.784,35.8921,523.796,226.677,35.8739
2023/09/17_02:12:02.140,140,226.784,226.771,524.269,226.778,35.8899,523.766,226.663,35.8718
2023/09/17_02:12:02.160,160,226.778,226.771,524.269,226.771,35.8889,523.766,226.657,35.8707
